#,Author,Total Poems,Live,Verse Daily,Poetry Daily,RALP,Slowdown
2091,Robert Hedin,1,,1,,,
2092,Michael Heffernan,2,,2,,,
2093,James Heflin,1,,1,,,
2094,Kathleen Heil,1,,,1,,
2095,Eva Heisler,2,,,2,,
2096,Joseph Heithaus,1,,1,,,
2097,Marwa Helal,1,,,,,1
2098,Kathleen Hellen,1,,1,,,
2099,Carolyn Hembree,2,,2,,,
2100,Andrew Hemmert,3,,2,1,,
2101,Aleksandar Hemon,2,,,,,2
2102,Elise Hempel,2,,2,,,
2103,Destiny Hemphill,1,,,1,,
2104,Essex Hemphill,1,,,1,,
2105,Ambalila Hemsell,2,,,,,2
2106,Ashjan Hendi,2,,,,,2
2107,Raye Hendrix,1,,,1,,
2108,William Ernest Henley,2,,,,2,
2109,Tom Hennen,1,,,,,1
2110,Eileen Hennessy,1,,1,,,
2111,John Hennessy,2,,2,,,
2112,Sara Henning,3,,3,,,
2113,Matthew Henriksen,4,,2,,,2
2114,Gordon Henry,2,,1,1,,
2115,S*an D. Henry-Smith,1,,,1,,
2116,Kale Hensley,1,,,1,,
2117,A. P. Herbert,1,,,,1,
2118,George Herbert,1,,,,,1
2119,W. J. Herbert,1,,,1,,
2120,Monika Herceg,1,,,1,,
2121,Niki Herd,2,,,1,,1
2122,Tracey Herd,1,,1,,,
2123,Adalber Salas Hernández,1,,,1,,
2124,David Hernandez,8,,8,,,
2125,Gustavo Hernandez,2,,,,,2
2126,Nicole Arocho Hernández,1,,,,,1
2127,Saúl Hernández,4,,,3,,1
2128,Lee Herrick,1,,1,,,
2129,Alec Hershman,1,,1,,,
2130,Robert Hershon,1,,,,1,
2131,Michael Hettich,5,,4,,1,
2132,Greg Hewett,1,,1,,,
2133,Seán Hewitt,1,,,,1,
2134,Suzanne Heyd,1,,1,,,
2135,Rage Hezekiah,3,,2,1,,
2136,Alison Hicks,1,,1,,,
2137,Faylita Hicks,1,,,,,1
2138,Bob Hicok,25,,18,1,3,3
2139,Christine Higgins,1,,1,,,
2140,Kevin Higgins,3,,3,,,
2141,Siew David Hii,1,,1,,,
2142,Nora Hikari,2,,,1,1,
2143,Nâzim Hikmet,3,,,,1,2
2144,Conrad Hilberry,1,,1,,,
2145,Jane Hilberry,1,,1,,,
2146,Donna Hilbert,1,,1,,,
2147,Ernest Hilbert,1,,1,,,
2148,Neil Hilborn,1,,,,1,
2149,Lauren Hilger,1,,1,,,
2150,DaMaris B. Hill,2,,,1,,1
2151,Kaycee Hill,1,,,1,,
2152,R. Nemo Hill,2,,2,,,
2153,Sean Hill,3,,1,1,,1
2154,Selima Hill,1,,,1,,
2155,Tennessee Hill,1,,1,,,
2156,W. Nick Hill,1,,1,,,
2157,Donora Hillard,1,,1,,,
2158,Rich Hilles,1,,1,,,
2159,Rick Hilles,1,,1,,,
2160,Brenda Hillman,6,,2,1,1,2
2161,Linda Hillringhouse,1,,1,,,
2162,Jaimee Hills,1,,1,,,
2163,Maria Dylan Himmelman,1,,,1,,
2164,Jessica Hincapié,1,,,,1,
2165,Noor Hindi,2,,,,1,1
2166,Emma Hine,2,,,,,2
2167,AE Hines,1,,1,,,
2168,Dennis Hinrichsen,2,,2,,,
2169,Toshiko Hirata,1,,,1,,
2170,Edward Hirsch,3,,,,1,2
2171,Jane Hirshfield,21,,4,,12,5
2172,Elizabyth Hiscox,1,,1,,,
2173,Lisa Hiton,2,,,1,,1
2174,Zoë Hitzig,3,,,2,,1
2175,H. L. Hix,2,,1,1,,
2176,Brynja Hjálmsdóttir,1,,,1,,
2177,Tony Hoagland,5,,1,1,2,1
2178,Sy Hoahwah,1,,1,,,
2179,Parker Hobson,1,,,1,,
2180,James Hoch,5,,2,1,,2
2181,Emily Hockaday,1,,1,,,
2182,John Hodgen,1,,1,,,
2183,Catherine Abbey Hodges,4,,3,,1,
2184,Kelly Hoffer,4,,,3,,1
2185,Carlie Hoffman,5,,,3,,2
2186,Cynthia Marie Hoffman,3,,2,,,1
2187,Jeff Hoffman,1,,1,,,
2188,Richard Hoffman,1,,1,,,
2189,Richie Hofmann,2,,,1,,1
2190,Laura Reece Hogan,1,,1,,,
2191,Linda Hogan,1,,,,1,
2192,Don Hogle,1,,1,,,
2193,Cynthia Hogue,3,,3,,,
2194,Nathan Hoks,4,,3,1,,
2195,Jackson Holbert,1,,,1,,
2196,Kevin Holden,1,,,1,,
2197,Madronna Holden,1,,1,,,
2198,Harmony Holiday,2,,,2,,
2199,Sarah Holland-Batt,1,,1,,,
2200,Andrea Hollander,5,,4,,,1
2201,Jean Hollander,1,,1,,,
2202,Jodie Hollander,4,,2,1,,1
2203,Bill Hollands,1,,,,,1
2204,Luke Hollis,1,,1,,,
2205,Matthew Hollis,1,,,1,,
2206,Wayne Holloway-Smith,1,,1,,,
2207,Amy Holman,2,,2,,,
2208,Karen Holmberg,1,,1,,,
2209,Anne Cecelia Holmes,2,,2,,,
2210,Karen Paul Holmes,2,,1,,,1
2211,Tom Holmes,4,,4,,,
2212,Darrel Alejandro Holnes,1,,,,,1
2213,Natalie Homer,2,,,,,2
2214,Michael Homolka,2,,2,,,
2215,Anna Maria Hong,3,,2,1,,
2216,Cathy Park Hong,1,,1,,,
2217,Garrett Hongo,3,,,1,,2
2218,Chloe Honum,2,,2,,,
2219,Shawn Hoo,2,,1,1,,
2220,Jane Hoogestraat,1,,1,,,
2221,Rebecca Hoogs,3,,3,,,
2222,Eva Mary Hooker,1,,1,,,
2223,Erin Hoover,1,,1,,,
2224,Paul Hoover,1,,1,,,
2225,Suzanne Marie Hopcroft,2,,2,,,
2226,Gerard Manley Hopkins,14,11,,1,1,1
2227,Jay Hopler,3,,,2,,1
2228,John Hoppenthaler,6,,6,,,
2229,Ailish Hopper,1,,,,,1
2230,Cheryl Hopson,1,,1,,,
2231,Horace,3,,,3,,
2232,Randall Horton,1,,1,,,
2233,Ranjit Hoskote,1,,,1,,
2234,Paul Hostovsky,11,,10,,1,
2235,Matthew Hotham,1,,1,,,
2236,Ron Houchin,3,,3,,,
2237,Adam Houle,1,,1,,,
2238,Joan Houlihan,3,,1,1,,1
2239,Hasib Hourani,1,,,1,,
2240,Silas House,1,,,,,1
2241,A.E. Housman,14,14,,,,
2242,Lynn Marie Houston,1,,1,,,
2243,Ben Howard,2,,2,,,
2244,JP Howard,1,,,,,1
2245,Liz Howard,1,,,1,,
2246,Sarah Howden,1,,1,,,
2247,Fanny Howe,2,,,1,1,
2248,Julia Ward Howe,1,,,,,1
2249,Marie Howe,10,,,1,6,3
2250,Susan Elizabeth Howe,2,,1,1,,
2251,Christopher Howell,2,,2,,,
2252,Rebecca Gayle Howell,1,,1,,,
2253,Tung-Hui Hu,2,,1,,1,
2254,Jennifer Huang,1,,,1,,
2255,Yong-Yu Huang,2,,,,1,1
2256,Giancarlo Huapaya,1,,,1,,
2257,David Huddle,1,,1,,,
2258,Liza Hudock,1,,,1,,
2259,Ann Hudson,1,,1,,,
2260,Ashley Elizabeth Hudson,1,,1,,,
2261,Michael Derrick Hudson,1,,1,,,
2262,Javier O. Huerta,1,,,,,1
2263,Amorak Huey,11,,9,,,2
2264,Jane Huffman,2,,1,1,,
2265,Jibade-Khalil Huffman,1,,1,,,
2266,Adam Hughes,2,,1,1,,
2267,Charlie Hughes,1,,1,,,
2268,Frieda Hughes,1,,1,,,
2269,Henry Hughes,1,,1,,,
2270,Holly J. Hughes,2,,2,,,
2271,Langston Hughes,16,13,,1,1,1
2272,Luther Hughes,2,,,1,,1
2273,Elizabeth Hughey,3,,2,1,,
2274,Richard Hugo,2,,,,1,1
2275,William Huhn,2,,2,,,
2276,YE Hui,1,,,1,,
2277,Leah Huizar,1,,,1,,
2278,T. E. Hulme,2,,,,2,
2279,Patrycja Humienik,4,,,2,,2
2280,Maria Hummel,3,,1,1,,1
2281,Austin Hummell,1,,1,,,
2282,TR Hummer,2,,2,,,
2283,Tom C. Hunley,14,,14,,,
2284,Erica Hunt,2,,,1,,1
2285,Carrie Hunter,1,,,1,,
2286,Paul Hunter,4,,4,,,
2287,Rose Hunter,1,,1,,,
2288,Cynthia Huntington,2,,2,,,
2289,Ho Xuan Huong,1,,,,1,
2290,Bethany Schultz Hurst,3,,3,,,
2291,Rochelle Hurt,4,,4,,,
2292,Jade Hurter,1,,1,,,
2293,Saba Husain,1,,1,,,
2294,Nasser Hussain,1,,,1,,
2295,Karla Huston,1,,1,,,
2296,Allison Hutchcraft,1,,1,,,
2297,Ishion Hutchinson,3,,1,1,,1
2298,J. Bailey Hutchinson,2,,2,,,
2299,Joseph Hutchison,1,,1,,,
2300,Lizzie Hutton,1,,1,,,
2301,Susan Hutton,1,,1,,,
2302,Sabine Huynh,1,,,1,,
2303,Su Hwang,1,,,,,1
2304,Kim Hyesoon,3,,,3,,
2305,Barbara Helfgott Hyett,1,,1,,,
2306,fahima ife,2,,,2,,
2307,Holly Iglesias,1,,1,,,
2308,Legna Rodríguez Iglesias,1,,,,,1
2309,Luisa A. Igloria,6,,3,1,2,
2310,Kai Ihns,1,,,1,,
2311,John Pursley III,2,,2,,,
2312,Willie Lee Kinard III,2,,,2,,
2313,Lindsay Illich,2,,2,,,
2314,Anthony Immergluck,2,,,,,2
2315,Beatriz Miralles de Imperial,1,,,1,,
2316,Hwang InChan,1,,,1,,
2317,Colette Inez,2,,2,,,
2318,Collette Inez,1,,,,1,
2319,Carly Inghram,1,,,1,,
2320,Romana Iorga,1,,,1,,
2321,Mark Irwin,2,,2,,,
2322,Nazifa Islam,2,,1,1,,
2323,John Isles,1,,1,,,
2324,Henry Israeli,2,,2,,,
2325,Kobayashi Issa,2,,,,2,
2326,Hiromi Itō,1,,,1,,
2327,M.J. Iuppa,1,,1,,,
2328,K. Iver,3,,,1,1,1
2329,Helen Ivory,1,,1,,,
2330,Alexis Ivy,1,,1,,,
2331,James Jabar,1,,1,,,
2332,Mary Kathryn Jablonski,1,,1,,,
2333,Angela Jackson,4,,1,,,3
2334,Didi Jackson,3,,1,,,2
2335,Gary Jackson,4,,1,2,1,
2336,Kara Jackson,1,,,,,1
2337,Linda Susan Jackson,1,,,,,1
2338,Major Jackson,8,,1,1,1,5
2339,Marcus Jackson,2,,,,,2
2340,Richard Jackson,5,,5,,,
2341,Max Jacob,1,,,1,,
2342,Jessica Jacobs,3,,3,,,
2343,Mitchell Jacobs,1,,,,,1
2344,Mary Elder Jacobsen,2,,1,,,1
2345,Elizabeth Jacobson,4,,3,1,,
2346,Roy Jacobstein,1,,1,,,
2347,Hilary S. Jacqmin,1,,1,,,
2348,Ann Jäderlund,1,,,1,,
2349,M. W. Jaeggle,1,,,1,,
2350,Ha Jaeyoun,1,,,1,,
2351,Gilad Jaffe,1,,,1,,
2352,Catherine Jagoe,1,,1,,,
2353,Leeladhar Jagoori,1,,,1,,
2354,John James,1,,,1,,
2355,Omotara James,3,,,2,,1
2356,Sonja James,1,,1,,,
2357,Thomas James,1,,,,,1
2358,Kyla Jamieson,1,,,,1,
2359,Brionne Janae,2,,,1,,1
2360,Perry Janes,1,,,1,,
2361,Mark Jarman,6,,4,,,2
2362,Bethany Jarmul,1,,1,,,
2363,Lisa Jarnot,1,,1,,,
2364,TJ Jarrett,2,,2,,,
2365,Alison Jarvis,1,,1,,,
2366,Matt Jasper,1,,1,,,
2367,Raúl Gómez Jattin,1,,,1,,
2368,Ghinwa Jawhari,2,,,2,,
2369,Di Jayawickrema,1,,,1,,
2370,Jennifer Jean,1,,,,,1
2371,Honorée Fanonne Jeffers,1,,,1,,
2372,Robinson Jeffers,1,,,,,1
2373,Lesley Jenike,2,,2,,,
2374,Brett Elizabeth Jenkins,1,,,,,1
2375,Kate Jenkins,1,,1,,,
2376,Marlin M. Jenkins,2,,,1,,1
2377,Paul Jenkins,1,,1,,,
2378,B. Fulton Jennes,1,,1,,,
2379,Dorine Jennette,2,,2,,,
2380,Janet Jennings,1,,1,,,
2381,Charles Jensen,1,,1,,,
2382,Katrine Øgaard Jensen,1,,,1,,
2383,Kaylee Young-Eun Jeong,1,,1,,,
2384,Kim Min Jeong,1,,,1,,
2385,Carrie Jerrell,1,,1,,,
2386,Tyehimba Jess,2,,,,1,1
2387,Ernest Jésùyẹmí,1,,,1,,
2388,Alyssa Jewell,1,,,1,,
2389,Sophie Jewett,1,,,,,1
2390,Yang Jian,1,,,1,,
2391,Chiagoziem Jideofor,1,,,1,,
2392,Rahma O. Jimoh,1,,,,,1
2393,Jzl Jmz,1,,,1,,
2394,Mikael Johani,1,,,1,,
2395,Aisha Sasha John,1,,,1,,
2396,David St. John,1,,1,,,
2397,Leslie St. John,1,,1,,,
2398,Wayne Johns,1,,1,,,
2399,Molly Johnsen,1,,,,,1
2400,Amaud Jamaul Johnson,4,,4,,,
2401,Betsy Johnson,2,,2,,,
2402,Couri Johnson,1,,1,,,
2403,Cyrée Jarelle Johnson,1,,,,,1
2404,Denis Johnson,2,,,1,,1
2405,Helene Johnson,2,,,,,2
2406,Jacqueline Johnson,2,,,,,2
2407,James Weldon Johnson,1,,,,,1
2408,Jenny Johnson,2,,1,,,1
2409,Jessica Johnson,3,,2,1,,
2410,Jill McCabe Johnson,1,,1,,,
2411,Jonathan Johnson,2,,2,,,
2412,Kimberly Johnson,11,,10,,,1
2413,L.A. Johnson,2,,1,,,1
2414,Linnea Johnson,1,,1,,,
2415,Luke Johnson,2,,1,1,,
2416,Marci Rae Johnson,1,,1,,,
2417,Meg Johnson,3,,3,,,
2418,Melissa C. Johnson,1,,1,,,
2419,Quinn Carver Johnson,1,,,,,1
2420,Roxane Beth Johnson,1,,,,,1
2421,Sara Eliza Johnson,4,,1,3,,
2422,Taylor Johnson,3,,,2,,1
2423,Vanessa Couto Johnson,1,,1,,,
2424,Emma Johnson-Rivard,1,,,1,,
2425,Devin Johnston,1,,,1,,
2426,Gordon Johnston,1,,1,,,
2427,Troy Jollimore,5,,3,1,1,
2428,Ashley M. Jones,5,,1,1,1,2
2429,Emma Jones,1,,1,,,
2430,Hettie Jones,1,,,,1,
2431,I.S. Jones,4,,1,1,2,
2432,Lois P. Jones,1,,1,,,
2433,Michal 'MJ' Jones,1,,,1,,
2434,Parneshia Jones,1,,1,,,
2435,Patricia Spears Jones,2,,,1,,1
2436,Richard Jones,2,,1,,1,
2437,Robert Hunter Jones,1,,1,,,
2438,Rodney Jones,1,,,1,,
2439,Saeed Jones,4,,1,,,3
2440,A. Van Jordan,4,,1,1,,2
2441,June Jordan,6,,,1,3,2
2442,Richard Jordan,1,,1,,,
2443,Allison Joseph,11,,10,,,1
2444,Jenny Joseph,1,,,,1,
2445,Kuhu Joshi,1,,,,1,
2446,Fady Joudah,9,,1,3,3,2
2447,"Mahmoud Darwish, translated Fady Joudah",1,,,,,1
2448,shalan joudry,1,,1,,,
2449,Anna Journey,4,,3,1,,
2450,Brendan Joyce,1,,,1,,
2451,James Joyce,13,13,,,,
2452,"Dennis Etzel, Jr.",1,,1,,,
2453,"Elizabeth T. Gray, Jr.",2,,1,1,,
2454,John Davis Jr.,1,,1,,,
2455,JS,1,,,,,1
2456,Kasey Jueds,1,,,1,,
2457,Lisa Julie,1,,1,,,
2458,Jennifer Juneau,1,,1,,,
2459,Jack Saebyok Jung,2,,,2,,
2460,Andrea Jurjević,3,,2,1,,
2461,Adil Jussawalla,1,,,1,,
2462,A. M. Juster,2,,1,1,,
2463,Donald Justice,1,,,,1,
2464,Thomas Kabdebo,1,,1,,,
2465,Judy Kaber,1,,,,,1
2466,Mandy Kahn,1,,1,,,
2467,Margot Kahn,1,,,,,1
2468,Peter Kahn,1,,,,,1
2469,George Kalamaras,3,,3,,,
2470,Adrianne Kalfopoulou,2,,2,,,
2471,Subhashini Kaligotla,1,,1,,,
2472,George Kalogeris,4,,1,1,,2
2473,Josh Kalscheur,2,,2,,,
2474,Sayumi Kamakura,1,,,1,,
2475,Yalie Saweda Kamara,5,,,2,,3
2476,Shilpa Kamat,1,,1,,,
2477,Anna Kamieńska,1,,,,1,
2478,Ilya Kaminsky,3,,,1,,2
2479,Alexandra van de Kamp,4,,4,,,
2480,Courtney Kampa,1,,1,,,
2481,Stephen Kampa,1,,1,,,
2482,Andrew Edmund Kane,1,,1,,,
2483,Joan Naviyuk Kane,6,,2,3,,1
2484,Thomas Kane,1,,1,,,
2485,Amorak Huey & W. Todd Kaneko,1,,,1,,
2486,W. Todd Kaneko,5,,1,1,,3
2487,Byron A. Kanoti,1,,1,,,
2488,Perla Kantarjian,1,,1,,,
2489,Bhanu Kapil,3,,,2,1,
2490,Dan Kaplan,4,,4,,,
2491,Genevieve Kaplan,1,,1,,,
2492,Janet Kaplan,1,,1,,,
2493,Kirun Kapur,3,,2,,,1
2494,Holly Karapetkova,2,,2,,,
2495,Mona Kareem,1,,,1,,
2496,Jen Karetnick,5,,5,,,
2497,Russell Karrick,1,,1,,,
2498,Ariana-Sophia Kartsonis,2,,2,,,
2499,Cynthia Arrieu-King & Ariana-Sophia Kartsonis,1,,1,,,
2500,Kirsten Kaschock,2,,1,1,,
2501,Julia Kasdorf,2,,,,1,1
2502,Laura Kasischke,5,,3,,,2
2503,Nancy Kassell,1,,1,,,
2504,Elina Katrin,2,,1,1,,
2505,Joy Katz,2,,2,,,
2506,Judy Katz,1,,1,,,
2507,Sarah Katz,1,,,1,,
2508,Ellen Kaufman,1,,1,,,
2509,Aby Kaupang,1,,,1,,
2510,Patrick Kavanagh,1,,,1,,
2511,Jackie Kay,1,,,,,1
2512,Sarah Kay,2,,,,,2
2513,Arthur Kayzakian,1,,,1,,
2514,Julia Wong Kcomt,1,,,1,,
2515,Erin Keane,1,,1,,,
2516,Douglas Kearney,2,,1,1,,
2517,Meg Kearney,1,,1,,,
2518,John Keats,6,5,,1,,
2519,Mihret Kebede,1,,,1,,
2520,Colm Keegan,1,,1,,,
2521,Claudia Keelan,1,,1,,,
2522,Deborah Keenan,1,,1,,,
2523,Michael Keenan,2,,2,,,
2524,John Keene,3,,,2,,1
2525,LuAnn Keener-Mikenas,1,,1,,,
2526,Scott Keeney,2,,2,,,
2527,Jayson Keery,1,,1,,,
2528,Gina Keicher,1,,1,,,
2529,Paol Keineg,1,,,1,,
2530,Sally Keith,1,,1,,,
2531,George Keithley,2,,2,,,
2532,Garret Keizer,1,,1,,,
2533,Charles Kell,2,,1,1,,
2534,Jordan Keller-Martinez,1,,,1,,
2535,Collin Kelley,2,,2,,,
2536,Tina Kelley,3,,3,,,
2537,Brigit Pegeen Kelly,4,,,1,1,2
2538,Devin Kelly,2,,,,1,1
2539,Donika Kelly,9,,1,3,,5
2540,Kristin Kelly,1,,1,,,
2541,Lisa Kelly,1,,,1,,
2542,Timothy Kelly,2,,2,,,
2543,Victoria Kelly,1,,1,,,
2544,Susan Kelly-DeWitt,2,,2,,,
2545,Christopher Kempf,3,,2,1,,
2546,Leatha Kendrick,1,,1,,,
2547,Robert Lee Kendrick,1,,1,,,
2548,Christopher Kennedy,2,,2,,,
2549,Mickie Kennedy,1,,,1,,
2550,Sarah Kennedy,1,,1,,,
2551,Terry L. Kennedy,4,,4,,,
2552,Philip Kenner,1,,1,,,
2553,Adele Kenny,3,,3,,,
2554,Rolly Kent,1,,1,,,
2555,Jane Kenyon,8,,,1,3,4
2556,David Keplinger,6,,3,3,,
2557,Saba Keramati,1,,,,,1
2558,Jesse Lee Kercheval,1,,1,,,
2559,Sarah Kersey,1,,,1,,
2560,Birhan Keskin,1,,,1,,
2561,Russ Kesler,1,,1,,,
2562,Trevor Ketner,1,,,1,,
2563,Charity Ketz,1,,,1,,
2564,Karen Kevorkian,3,,3,,,
2565,Amy Key,1,,1,,,
2566,Ashley Keyser,1,,1,,,
2567,Reeves Keyworth,1,,1,,,
2568,Jahan Khajavi,1,,,1,,
2569,Daniel Khalastchi,3,,1,2,,
2570,Jazra Khaleed,1,,,1,,
2571,Jasmine Khaliq,4,,2,,,2
2572,Vandana Khanna,3,,1,,,2
2573,Lyudmyla Khersonsky,1,,,1,,
2574,Karla Myn Khine,1,,1,,,
2575,Maya Khosla,1,,1,,,
2576,Jill Khoury,1,,1,,,
2577,Vénus Khoury-Ghata,1,,,1,,
2578,Stacy Kidd,2,,2,,,
2579,Shuri Kido,2,,,2,,
2580,Abbie Kiefer,1,,1,,,
2581,Arkaye Kierulf,5,,,,5,
2582,Dore Kiesselbach,3,,3,,,
2583,Brandon Kilbourne,2,,,1,,1
2584,Athena Kildegaard,6,,5,1,,
2585,Gillian Kiley,1,,1,,,
2586,Paul Killebrew,2,,1,1,,
2587,Kevin Killian,1,,,1,,
2588,Sam Killmeyer,1,,,,,1
2589,Annie Kim,1,,,,,1
2590,Eddie Kim,2,,,,,2
2591,Elane Kim,2,,,,1,1
2592,Joey S. Kim,1,,1,,,
2593,Megan Kim,1,,,1,,
2594,Mihee Kim,1,,,,,1
2595,Suji Kwock Kim,3,,,1,,2
2596,Gregory Kimbrell,1,,1,,,
2597,Burt Kimmelman,1,,1,,,
2598,Sally Rosen Kindred,2,,2,,,
2599,Amy King,2,,2,,,
2600,Bill King,1,,,1,,
2601,Cindy King,4,,3,,,1
2602,R. D. King,2,,1,1,,
2603,Willie James King,1,,1,,,
2604,Benjamin Naka-Hasebe Kingsley,3,,2,1,,
2605,Paul Kingsnorth,1,,1,,,
2606,Barbara Kingsolver,2,,,,,2
2607,Galway Kinnell,2,,,,2,
2608,John Kinsella,7,,7,,,
2609,Rudyard Kipling,2,2,,,,
2610,David Kirby,6,,5,1,,
2611,Stefanie Kirby,2,,,2,,
2612,Carla Kirchner,1,,1,,,
2613,Brian Kirk,1,,1,,,
2614,Kathryn Kirkpatrick,2,,2,,,
2615,Patricia Kirkpatrick,1,,,,,1
2616,Heather Kirn,1,,1,,,
2617,Judith Kiros,1,,,1,,
2618,Adam Kirsch,1,,1,,,
2619,Mark Kirschen,1,,,,1,
2620,Christine Kitano,3,,1,,,2
2621,Tony Kitt,1,,,1,,
2622,Sophie Klahr,3,,1,,1,1
2623,L. S. Klatt,4,,4,,,
2624,Becca Klaver,4,,4,,,
2625,Michael Kleber-Diggs,3,,,1,,2
2626,Amelia Klein,1,,1,,,
2627,Frances Klein,1,,1,,,
2628,Michael Klein,1,,,,,1
2629,Phyllis Klein,1,,1,,,
2630,Irena Klepfisz,1,,,1,,
2631,Avram Kline,1,,1,,,
2632,Peter Kline,3,,3,,,
2633,Tyler Kline,1,,,1,,
2634,Joanna Klink,4,,2,1,,1
2635,Loretta Collins Klobah,1,,,,,1
2636,William Kloefkorn,1,,1,,,
2637,Logan Klutse,1,,,1,,
2638,Caroline Knapp,1,,1,,,
2639,Elizabeth Knapp,2,,2,,,
2640,Carol Stevens Kner,1,,1,,,
2641,Marija Knežević,1,,,1,,
2642,Hester Knibbe,1,,,1,,
2643,Etheridge Knight,2,,,,1,1
2644,Lynne Knight,6,,6,,,
2645,Christian Knoeller,1,,1,,,
2646,Tricia Knoll,1,,1,,,
2647,Alyse Knorr,4,,3,1,,
2648,Bill Knott,5,,1,1,3,
2649,Caroline Knox,1,,1,,,
2650,Jennifer L. Knox,3,,2,,,1
2651,Arah Ko,2,,,,1,1
2652,Kenneth Koch,1,,,,1,
2653,Ruth Ellen Kocher,2,,1,,,1
2654,Noelle Kocot,6,,4,1,1,
2655,David Koehn,1,,1,,,
2656,Ron Koertge,3,,3,,,
2657,Ronald Koertge,1,,1,,,
2658,John Koethe,2,,1,1,,
2659,Julia Koets,3,,3,,,
2660,E. J. Koh,2,,1,,1,
2661,Jee Leong Koh,1,,,1,,
2662,Sandra Kohler,3,,3,,,
2663,Deborah Kahan Kolb,1,,1,,,
2664,Laura Kolbe,1,,,1,,
2665,Julia Kolchinsky,2,,,1,,1
2666,Elizabeth Kolenda,1,,,1,,
2667,Ono no Komachi,1,,,,1,
2668,Ellen Kombiyil,1,,1,,,
2669,Yusef Komunyakaa,4,,1,1,1,1
2670,Mary A. Koncel,1,,1,,,
2671,Virginia Konchan,4,,4,,,
2672,Christopher Kondrich,3,,3,,,
2673,Jessica de Koninck,2,,2,,,
2674,Jason Koo,2,,2,,,
2675,Hyejung Kook,1,,1,,,
2676,Ted Kooser,6,,2,1,2,1
2677,Kateri Kosek,1,,1,,,
2678,Dana Koster,1,,1,,,
2679,Miriam Kotzin,1,,1,,,
2680,Karen Kovacik,1,,1,,,
2681,Shane Kowalski,1,,,1,,
2682,Mackenzie Kozak,1,,1,,,
2683,Andrew Kozma,1,,1,,,
2684,Arno Kramer,1,,1,,,
2685,Ashley Seitz Kramer,1,,1,,,
2686,Jaye Kranz,1,,1,,,
2687,Brandon Kreitler,2,,2,,,
2688,Leonard Kress,3,,3,,,
2689,Brandon Krieg,2,,2,,,
2690,Jack Kristiansen,1,,1,,,
2691,Richard Krohn,1,,1,,,
2692,Aaron Krol,1,,1,,,
2693,Judy Kronenfeld,1,,1,,,
2694,Lisa C. Krueger,2,,1,,,1
2695,Kimberly Kruge,1,,1,,,
2696,Peter Krumbach,1,,1,,,
2697,David Krump,1,,1,,,
2698,Benjamin Krusling,1,,,1,,
2699,Robert Krut,2,,1,1,,
2700,Nancy Krygowski,2,,1,,,1
2701,Christy Ku,1,,1,,,
2702,Debora Kuan,1,,1,,,
2703,Noah Kucij,1,,1,,,
2704,Donovan Kūhiō,1,,,,,1
2705,Nancy Kuhl,1,,,1,,
2706,Keetje Kuipers,6,,3,,,3
2707,Urvi Kumbhat,1,,,,,1
2708,Maxine Kumin,2,,2,,,
2709,Zaffar Kunial,2,,,,,2
2710,Stanley Kunitz,2,,,,2,
2711,Marianne Kunkel,1,,1,,,
2712,Edgar Kunz,4,,,1,,3
2713,Jaimee Kuperman,1,,1,,,
2714,Petra Kuppers,1,,,1,,
2715,Carolene Kurien,1,,1,,,
2716,Laurie Kutchins,1,,1,,,
2717,David Kutz-Marks,2,,2,,,
2718,Stephen Kuusisto,3,,2,1,,
2719,Melissa Kwasny,5,,4,1,,
2720,Christine Kwon,2,,,,,2
2721,Abdellatif Laâbi,1,,,,1,
2722,Peter LaBerge,2,,1,1,,
2723,Anthony Lacavaro,1,,1,,,
2724,Justin Lacour,1,,,,1,
2725,Matthew Ladd,1,,1,,,
2726,Jane Rosenberg LaForge,1,,1,,,
2727,Jennifer G. Lai,1,,,,,1
2728,Maria Laina,2,,,2,,
2729,R. D. Laing,1,,,,1,
2730,Nick Laird,2,,,,,2
2731,Virginie Lalucq,1,,,1,,
2732,Danusha Laméris,6,,,2,1,3
2733,Jacqueline Jones LaMon,1,,,1,,
2734,Laurie Lamon,1,,1,,,
2735,Lori Lamothe,3,,3,,,
2736,Sade LaNay,1,,1,,,
2737,Deborah Landau,6,,1,1,1,3
2738,Susan Landgraf,1,,1,,,
2739,Corey Van Landingham,7,,2,3,,2
2740,K. T. Landon,1,,1,,,
2741,Letitia Elizabeth Landon,1,,,,,1
2742,Benjamin Landry,1,,,1,,
2743,Rosa Lane,1,,1,,,
2744,Susanna Lang,3,,2,,,1
2745,Steve Langan,1,,1,,,
2746,Elizabeth Langemak,2,,2,,,
2747,R.F. Langley,1,,,1,,
2748,Krystal Languell,3,,3,,,
2749,Heather Kirn Lanier,2,,2,,,
2750,Sasha taqʷšəblu LaPointe,1,,,1,,
2751,Hiram Larew,1,,1,,,
2752,Philip Larkin,8,,,,8,
2753,Tanya Larkin,3,,3,,,
2754,Jeanne Larsen,2,,2,,,
2755,Lance Larsen,2,,1,1,,
2756,Rustin Larson,10,,10,,,
2757,Dorothea Lasky,6,,3,1,1,1
2758,Quinn Latimer,1,,1,,,
2759,Brett Fletcher Lauer,1,,1,,,
2760,A. D. Lauren-Abunassar,2,,,1,,1
2761,Rickey Laurentiis,2,,,1,,1
2762,Ann Lauterbach,3,,2,,,1
2763,Dorianne Laux,12,,3,,6,3
